,District Name,Current Exp of Educ per ADA (Ed Code 41372) (District),Total Gen Fund Expenditures (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Per Student # (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Total Gen Fund Expenditures Per Student (District),Total Gen Fund Revenues Per Student (District),Total Gen Fund Revenues (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Per Student # (District),Gen Fund Exp by Object Code - 1000-1999 Certificated Salaries Per Student (District),Gen Fund Exp by Object Code - 2000-2999 Classified Salaries Per Student (District),Gen Fund Exp by Object Code - 3000-3999 Employee Benefits Per Student (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Gen Fund Exp by Object Code - 5000-5999 Services & Other Op Exp Per Student (District),Gen Fund Rev by Object Code - 8010-8099 Rev Limit Sources/LCFF Per Student (District),Gen Fund Rev by Object Code - 8100-8299 Federal Revenue Per Student (District),Gen Fund Rev by Object Code - 8300-8599 Other State Revenue Per Student (District),Gen Fund Rev by Object Code - 8600-8799 Other Local Revenue Per Student (District),Expulsions (District),Suspensions (District),Suspensions (In School) (District),Suspensions (Out of School) (District),County Name (District)_x,District Type (District)_x,All Charter Schools (Y/N) (District)_x,CDS Number (District)_x,City (District)_x,Grade Span (District)_x,Zip (District)_x,CDS Number (District)_y,CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District),CDS Number (District)_x,American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District),Cohort Graduates % (District),Grads Mtg UC/CSU # (District),Black or African American # (UC/CSU) (District),American Indian or Alaska Native # (UC/CSU) (District),Asian # (UC/CSU) (District),Filipino # (UC/CSU) (District),Hispanic or Latino # (UC/CSU) (District),Native Hawaiian or Pacific Islander # (UC/CSU) (District),White # (UC/CSU) (District),Two or More Races # (UC/CSU) (District),None Reported # (UC/CSU) (District),ACT Avg Results-English # (District),ACT Avg Results-Math # (District),ACT Avg Results-Reading # (District),ACT Avg Results-Science # (District),ACT Test Takers # (District),American Indian or Alaska Native # (Cohort Grads) (District),Asian # (Cohort Grads) (District),Native Hawaiian or Pac Islander # (Cohort Grads) (District),Filipino # (Cohort Grads) (District),Hispanic or Latino # (Cohort Grads) (District),Black or African American # (Cohort Grads) (District),White # (Cohort Grads) (District),Two or More Races # (Cohort Grads) (District),None Reported # (Cohort Grads) (District),Advanced Placement (AP) Test Taking # (District),AP Score-1 (District),AP Score-2 (District),AP Score-3 (District),AP Score-4 (District),AP Score-5 (District),Cohort Dropouts # (District),Cohort Dropouts % (District),American Indian or Alaska Native # (Cohort Dropouts) (District),Asian # (Cohort Dropouts) (District),Native Hawaiian or Pac Islander # (Cohort Dropouts) (District),Filipino # (Cohort Dropouts) (District),Hispanic or Latino # (Cohort Dropouts) (District),Black or African American # (Cohort Dropouts) (District),White # (Cohort Dropouts) (District),Two or More Races # (Cohort Dropouts) (District),None Reported # (Cohort Dropouts) (District),SAT Test Takers # (District),Cohort Graduates # (District),Grads Mtg UC/CSU % (District),SAT Avg Results-Mathematics # (District),SAT Avg Results-Reading # (District),SAT Avg Results-Writing # (District),CDS Number (District)_y,Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Special Education # (District),CDS Number (District)_x,Disadvantaged Students (CAASPP-ELA Levels 3 and 4) (District),Disadvantaged Students (CAASPP-Math Levels 3 and 4) (District),EL Attaining Engl Prof < 5yrs in cohort # (District),EL Attaining Engl Prof < 5yrs in cohort % (District),EL Attaining Engl Prof >=5yrs in cohort # (District),EL Attaining Engl Prof >=5yrs in cohort % (District),EL Making Annual Growth Target # (District),EL Making Annual Growth Target % (District),English Learners (CAASPP-ELA Levels 3 and 4) (District),English Learners (CAASPP-Math Levels 3 and 4) (District),Migrant Students (CAASPP-ELA Levels 3 and 4) (District),Migrant Students (CAASPP-Math Levels 3 and 4) (District),Students w/Disabilities (CAASPP-ELA Levels 3 and 4) (District),Students w/Disabilities (CAASPP-Math Levels 3 and 4) (District),CDS Number (District)_y,Redesignated FEP (RFEP) # (District),County Name (District)_y,District Type (District)_y,All Charter Schools (Y/N) (District)_y,CDS Number (District),City (District)_y,Grade Span (District)_y,Zip (District)_y,1st Year Teachers (District),2nd Year Teachers (District),Avg Years Teaching (District),Per Pupil Ratio: Teacher (District),Salary Change (District),TchrBnft-Max Annual-2Party Plan $ Pd (District),TchrBnft-Max Annual-Cafe Plan $ Pd (District),TchrBnft-Max Annual-Family Pln $ Pd (District),TchrBnft-Max Annual-Single Plan $ Pd (District),Teacher BA60 Step-10 Offered (District),Teacher Highest Salary Offered (District),Teacher Lowest Salary Offered (District),Teacher Salary-Avg (District),Teacher Service Days (District),Teachers-# (District),Teachers-FTE (District),Teaching Days (District)
0,ABC Unified (Los Angeles),10410.0,215623832.0,0.0,8.0,1258.0,0.0,0.0,0.0,10759.0,11160.0,223659067.0,12.0,849.0,6761.0,0,0.0,5.0,63.0,580.0,11.0,1200.0,4883.0,1692.0,2641.0,439.0,924,8715.0,514.0,1643.0,288.0,,,,,Los Angeles,Unified School District,No,19-64212-0000000,Cerritos,K-12,90703,19-64212-0000000,34.1,30.7,18.9,16.4,64.7,63.6,87.5,53.3,83,49.3,48.3,79.8,67.8,60.2,69.3,19-64212-0000000,57.6,84.4,36.8,71.2,35.9,40.9,64.4,55.3,53.7,54,53.8,30.4,23.5,24.1,22.1,91.1,910.0,73.0,0.0,379.0,144.0,243.0,0.0,53.0,11.0,0.0,25,26,25,24,361.0,redacted,464,redacted,210,588,153,97,21,redacted,1752.0,343,704,856,826,674,34,2,redacted,1,redacted,2,24,1,5,0,redacted,,1549,58.7,,,,19-64212-0000000,20042.0,4323.0,20.8,20768.0,56.0,63.0,5075.0,1799.0,2404.0,9436.0,158.0,451.0,74.0,1308.0,0.3,24.4,8.7,11.6,45.4,0.8,2.2,0.4,6.3,4557.0,21.9,80,10247.0,49.3,11409.0,55.2,126.0,1006.0,2163.0,19-64212-0000000,49.7,37.7,,,,,,,31,27.9,38.4,29.4,21.5,16.5,19-64212-0000000,451.0,Los Angeles,Unified School District,No,19-64212-0000000,Cerritos,K-12,90703,20.0,31.0,14.0,24.0,1.0,16478.0,0.0,20828.0,9132.0,75973.0,103165.0,51752.0,82191.0,184.0,881.0,863.9,180.0
1,Acalanes Union High (Contra Costa),12992.0,69966460.0,2.0,10.0,1504.0,273.0,23.0,0.0,13232.0,13890.0,73447076.0,11.0,1322.0,7868.0,1,0.0,6.0,59.0,835.0,11.0,1406.0,5867.0,1725.0,3488.0,488.0,1611,9173.0,266.0,1076.0,3375.0,,,,,Contra Costa,High School District,No,07-61630-0000000,Lafayette,09-12,94549,07-61630-0000000,55.1,28.7,10.4,5.8,83.8,redacted,89.9,45.8,94.7,74.3,redacted,92.3,83.9,79.6,88,07-61630-0000000,redacted,83.4,26.1,73.7,53.4,redacted,77.3,68.5,69.7,68.7,69.2,39.9,29.3,17.8,13.1,97.6,1031.0,17.0,0.0,140.0,24.0,67.0,0.0,719.0,61.0,0.0,28,27,28,27,831.0,redacted,168,redacted,31,97,22,896,71,redacted,2039.0,93,367,960,1243,1367,8,0.6,redacted,0,redacted,0,1,1,5,0,redacted,,1292,79.8,,,,07-61630-0000000,5288.0,98.0,1.8,5530.0,37.0,9.0,731.0,95.0,120.0,508.0,16.0,362.0,40.0,3649.0,0.2,13.2,1.7,2.2,9.2,0.3,6.5,0.7,66.0,757.0,13.7,redacted,184.0,3.3,263.0,5.2,1.0,0.0,558.0,07-61630-0000000,51.4,37.5,,,,,,,18.2,40,,,35.1,13.3,07-61630-0000000,22.0,Contra Costa,High School District,No,07-61630-0000000,Lafayette,09-12,94549,7.0,2.0,12.0,20.4,0.0,19335.0,0.0,24616.0,10535.0,77010.0,98585.0,43913.0,86835.0,186.0,291.0,271.6,180.0
2,Ackerman Charter (Placer),8136.0,4723278.0,0.0,9.0,849.0,40.0,0.0,0.0,8378.0,9189.0,5180664.0,10.0,789.0,5243.0,0,0.0,6.0,63.0,533.0,9.0,737.0,4197.0,1161.0,1677.0,529.0,618,7731.0,222.0,826.0,410.0,,,,,Placer,Elementary School District,Yes,31-66761-0000000,Auburn,K-08,95603,31-66761-0000000,35.4,39,17.3,8.2,74.5,redacted,redacted,redacted,redacted,66.7,,80,75.9,71.4,77.3,31-66761-0000000,redacted,redacted,redacted,redacted,47.7,,80,61.1,65.1,54.6,59.7,31.8,27.9,31.2,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-66761-0000000,564.0,11.0,1.9,586.0,23.0,2.0,8.0,4.0,1.0,74.0,0.0,30.0,7.0,460.0,0.3,1.4,0.7,0.2,12.6,0.0,5.1,1.2,78.5,15.0,2.6,redacted,157.0,26.8,160.0,27.0,6.0,0.0,46.0,31-66761-0000000,52.6,40,,,,,,,redacted,redacted,,,45.2,31,31-66761-0000000,0.0,Placer,Elementary School District,Yes,31-66761-0000000,Auburn,K-08,95603,2.0,4.0,9.0,20.4,2.0,7793.0,0.0,7793.0,7793.0,62362.0,81892.0,46606.0,65499.0,182.0,31.0,28.7,180.0
3,Acton-Agua Dulce Unified (Los Angeles),14228.0,16702777.0,1.0,8.0,1776.0,190.0,0.0,0.0,16118.0,16023.0,16604330.0,11.0,1319.0,7570.0,0,0.0,11.0,47.0,1788.0,11.0,1762.0,6039.0,2098.0,2483.0,1194.0,2493,8623.0,834.0,1077.0,5489.0,,,,,Los Angeles,Unified School District,No,19-75309-0000000,Acton,K-12,93510,19-75309-0000000,16.7,34.5,26.2,22.7,51.1,redacted,redacted,redacted,redacted,40.8,redacted,57.1,59.9,45.8,57.3,19-75309-0000000,redacted,redacted,redacted,redacted,23.9,redacted,28.6,39.4,33.8,29.7,31.9,10.6,21.3,36.6,31.6,32.3,92.0,2.0,0.0,2.0,2.0,17.0,0.0,44.0,12.0,12.0,24,21,24,22,17.0,redacted,5,redacted,5,92,28,146,22,17,64.0,33,32,27,8,0,341,34.8,redacted,7,redacted,3,176,52,69,12,13,,317,29.0,,,,19-75309-0000000,1036.0,617.0,6.2,10016.0,52.0,36.0,382.0,711.0,154.0,3473.0,18.0,711.0,329.0,4202.0,0.4,3.8,7.1,1.5,34.7,0.2,7.1,3.3,42.0,758.0,7.6,26,3603.0,36.0,505.0,43.7,75.0,0.0,965.0,19-75309-0000000,39.9,21.6,,,,,,,24.7,13.8,,,20.8,15.1,19-75309-0000000,30.0,Los Angeles,Unified School District,No,19-75309-0000000,Acton,K-12,93510,40.0,145.0,2.0,13.2,,,,,,,,,,,855.0,758.6,
4,Adelanto Elementary (San Bernardino),10508.0,84842834.0,0.0,9.0,1231.0,0.0,5.0,0.0,10748.0,11622.0,91739518.0,11.0,1003.0,6642.0,0,0.0,7.0,62.0,711.0,9.0,1018.0,4526.0,1683.0,2751.0,480.0,1198,9737.0,777.0,980.0,128.0,,,,,San Bernardino,Elementary School District,No,36-67587-0000000,Adelanto,K-12,92301,36-67587-0000000,5.8,15.8,25.4,53,21.5,23.5,47.5,13.1,48.5,23.4,32.1,18.3,24.9,17.6,25.6,36-67587-0000000,23.5,25,6,39.4,12.6,17,9.6,14.1,11.6,11.4,11.5,2.7,8.8,23.3,65.2,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,redacted,redacted,redacted,redacted,2.0,redacted,redacted,redacted,redacted,114,35,26,6,redacted,1.0,redacted,redacted,redacted,redacted,redacted,235,47.2,redacted,redacted,redacted,redacted,131,48,39,12,redacted,,186,0.0,,,,36-67587-0000000,7894.0,1662.0,16.2,10288.0,39.0,35.0,91.0,2156.0,48.0,6338.0,88.0,332.0,186.0,1014.0,0.3,0.9,21.0,0.5,61.6,0.9,3.2,1.8,9.9,1223.0,11.9,259,8628.0,83.9,7174.0,88.1,114.0,0.0,1453.0,36-67587-0000000,18.6,9.9,,,,,,,4.2,2.7,,,1.9,2,36-67587-0000000,398.0,San Bernardino,Elementary School District,No,36-67587-0000000,Adelanto,K-12,92301,86.0,25.0,6.0,24.1,5.0,0.0,13260.0,0.0,0.0,75556.0,106278.0,50423.0,78737.0,182.0,459.0,426.6,180.0
5,Alameda County Office of Education (Alameda),,42949787.0,1.0,3.0,,,,0.0,,,41875502.0,38.0,,,,2.0,35.0,16.0,,4.0,,,,,,,,,,,,,,,Alameda,County Office of Education (COE),No,01-10017-0000000,Hayward,K-12,94544,01-10017-0000000,0,4.6,18.2,77.3,4.6,,redacted,0,redacted,6.7,redacted,redacted,redacted,3.3,7.1,01-10017-0000000,,redacted,0,redacted,0,redacted,redacted,redacted,0,0,0,0,0,3.9,96.1,46.4,66.0,24.0,0.0,0.0,0.0,36.0,0.0,3.0,0.0,0.0,redacted,redacted,redacted,redacted,9.0,redacted,redacted,redacted,redacted,78,62,8,6,redacted,42.0,39,13,9,2,0,124,35.3,redacted,redacted,redacted,redacted,46,62,7,4,redacted,,163,40.5,,,,01-10017-0000000,,935.0,32.6,2870.0,48.0,16.0,241.0,543.0,22.0,1581.0,33.0,219.0,6.0,209.0,0.6,8.4,18.9,0.8,55.1,1.1,7.6,0.2,7.3,574.0,20.0,31,1625.0,56.4,299.0,,45.0,0.0,291.0,01-10017-0000000,3.3,0,,,,,,,redacted,redacted,,,0,0,01-10017-0000000,38.0,Alameda,County Office of Education (COE),No,01-10017-0000000,Hayward,K-12,94544,21.0,17.0,5.0,19.6,3.0,3600.0,0.0,3600.0,3600.0,88508.0,114706.0,61090.0,107274.0,185.0,150.0,146.7,182.0
6,Alameda Unified (Alameda),11570.0,107894469.0,2.0,7.0,1192.0,200.0,14.0,0.0,11907.0,11919.0,108006467.0,10.0,875.0,7634.0,0,0.0,6.0,64.0,727.0,10.0,1200.0,5499.0,1877.0,2082.0,540.0,1739,8367.0,390.0,1008.0,2154.0,,,,,Alameda,Unified School District,No,01-61119-0000000,Alameda,K-12,94501,01-61119-0000000,34.3,31.7,17.3,16.8,65.9,64.3,74.1,34.1,60.5,51.6,36.7,69.6,75.1,61.4,70.8,01-61119-0000000,21.4,71.6,23.8,46,42.9,22,63.4,64.5,58.6,57.7,58.2,31.9,26.3,22.5,19.4,87,461.0,31.0,0.0,198.0,32.0,64.0,0.0,115.0,16.0,0.0,25,25,25,24,275.0,redacted,274,redacted,69,122,72,196,41,redacted,924.0,198,360,511,395,251,45,5,redacted,2,redacted,2,21,6,10,1,redacted,,781,59.0,,,,01-61119-0000000,9062.0,1834.0,16.4,11201.0,69.0,33.0,2957.0,931.0,781.0,1901.0,85.0,1125.0,81.0,3307.0,0.3,26.4,8.3,7.0,17.0,0.8,10.0,0.7,29.5,1915.0,17.1,18,3199.0,28.6,3307.0,36.5,103.0,0.0,1171.0,01-61119-0000000,43.8,37.2,,,,,,,31.4,36,,,21.1,21.2,01-61119-0000000,270.0,Alameda,Unified School District,No,01-61119-0000000,Alameda,K-12,94501,16.0,46.0,9.0,19.1,4.0,6886.0,0.0,8007.0,5413.0,68507.0,90779.0,47607.0,73140.0,185.0,610.0,585.4,180.0
7,Albany City Unified (Alameda),12165.0,45221452.0,1.0,4.0,1632.0,124.0,116.0,0.0,12556.0,12649.0,45554287.0,13.0,559.0,7952.0,0,1.0,8.0,63.0,1031.0,9.0,1142.0,5741.0,1514.0,3685.0,405.0,1227,8352.0,289.0,1534.0,2474.0,,,,,Alameda,Unified School District,No,01-61127-0000000,Albany,K-12,94706,01-61127-0000000,44,35.4,12.9,7.8,79.4,redacted,82.9,67.9,50,66.2,redacted,78.7,84.7,75.4,83.5,01-61127-0000000,redacted,82.6,49.1,50,57,redacted,69.7,79.4,72.8,75.1,73.9,46.4,27.5,15.7,10.4,91.9,176.0,6.0,0.0,56.0,0.0,21.0,,77.0,16.0,,27,28,28,27,128.0,redacted,76,,redacted,47,14,112,30,,299.0,16,75,144,197,213,12,3.9,redacted,2,,redacted,3,1,4,1,,,284,62.0,,,,01-61127-0000000,3602.0,674.0,18.2,3702.0,60.0,5.0,1029.0,117.0,51.0,603.0,7.0,501.0,21.0,1368.0,0.1,27.8,3.2,1.4,16.3,0.2,13.5,0.6,37.0,539.0,14.6,redacted,641.0,17.3,1090.0,29.4,6.0,0.0,268.0,01-61127-0000000,66.7,59.2,,,,,,,63.5,64.1,,,26.1,27.3,01-61127-0000000,22.0,Alameda,Unified School District,No,01-61127-0000000,Albany,K-12,94706,4.0,18.0,8.0,18.6,1.3,26075.0,0.0,33936.0,13259.0,68927.0,92910.0,47326.0,72154.0,184.0,213.0,199.4,180.0
8,Alexander Valley Union Elementary (Sonoma),17406.0,2185999.0,0.0,5.0,2138.0,0.0,252.0,0.0,17551.0,18318.0,2281489.0,12.0,902.0,11590.0,0,1.0,9.0,66.0,1494.0,7.0,1175.0,7096.0,3188.0,3325.0,1053.0,2888,14412.0,372.0,1107.0,2427.0,,,,,Sonoma,Elementary School District,No,49-70599-0000000,Healdsburg,K-06,95448,49-70599-0000000,30.8,30.8,15.4,23.1,61.5,,,,,44,,,72.5,50,71.4,49-70599-0000000,,,,,36,,,60,40,60,50.8,29.2,21.5,33.9,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49-70599-0000000,125.0,33.0,25.4,130.0,33.0,0.0,0.0,1.0,0.0,48.0,0.0,1.0,0.0,80.0,0.0,0.0,0.8,0.0,36.9,0.0,0.8,0.0,61.5,2.0,1.5,redacted,34.0,26.2,48.0,36.0,0.0,3.0,17.0,49-70599-0000000,50,45.5,,,,,,,35.3,29.4,redacted,redacted,redacted,redacted,49-70599-0000000,0.0,Sonoma,Elementary School District,No,49-70599-0000000,Healdsburg,K-06,95448,2.0,0.0,6.0,14.9,,,,,,,,,,,9.0,8.7,
9,Alhambra Unified (Los Angeles),11511.0,209344227.0,1.0,11.0,1612.0,64.0,1.0,0.0,12594.0,12495.0,207700279.0,13.0,1381.0,7204.0,0,0.0,6.0,57.0,722.0,12.0,1451.0,5302.0,1823.0,3411.0,485.0,1175,9745.0,667.0,1109.0,974.0,,,,,Los Angeles,Unified School District,No,19-75713-0000000,Alhambra,K-12,91803,19-75713-0000000,32.5,30.8,18.1,18.6,63.3,47.1,74.3,39.6,78.3,49.4,redacted,74.3,59.9,57.3,69.5,19-75713-0000000,17.7,75.3,30,65.6,30.7,redacted,67.9,40.4,53.9,56.6,55.2,30.7,24.5,22.3,22.5,94.2,995.0,5.0,0.0,718.0,14.0,224.0,0.0,15.0,18.0,0.0,23,25,24,23,511.0,redacted,987,redacted,23,656,13,36,31,redacted,2058.0,556,764,880,691,695,46,2.5,redacted,10,redacted,0,32,1,2,1,redacted,,1755,56.7,,,,19-75713-0000000,16622.0,3776.0,22.1,17071.0,41.0,33.0,8715.0,112.0,369.0,7071.0,16.0,404.0,2.0,349.0,0.2,51.1,0.7,2.2,41.4,0.1,2.4,0.0,2.0,5833.0,34.2,65,11013.0,64.5,11746.0,71.1,143.0,48.0,1404.0,19-75713-0000000,56.7,49.2,,,,,,,24.9,37.5,43.5,30.4,14.1,11,19-75713-0000000,561.0,Los Angeles,Unified School District,No,19-75713-0000000,Alhambra,K-12,91803,3.0,28.0,14.0,22.9,2.0,0.0,0.0,0.0,0.0,78943.0,115477.0,42062.0,82543.0,184.0,751.0,745.3,180.0
