,District Name,Expulsions (District),Suspensions (District),Suspensions (In School) (District),Suspensions (Out of School) (District),All Charter Schools (Y/N) (District),CDS Number (District),City (District),District Type (District),County Name (District),Zip (District),Grade Span (District),Per Pupil Ratio: Teacher (District),1st Year Teachers (District),Avg Years Teaching (District),2nd Year Teachers (District),Salary Change (District),TchrBnft-Max Annual-Cafe Plan $ Pd (District),TchrBnft-Max Annual-2Party Plan $ Pd (District),TchrBnft-Max Annual-Family Pln $ Pd (District),TchrBnft-Max Annual-Single Plan $ Pd (District),Teacher Highest Salary Offered (District),Teacher BA60 Step-10 Offered (District),Teacher Lowest Salary Offered (District),Teacher Salary-Avg (District),Teacher Service Days (District),Teachers-# (District),Teachers-FTE (District),Teaching Days (District),Students w/Disabilities (CAASPP-Math Levels 3 and 4) (District),Students w/Disabilities (CAASPP-ELA Levels 3 and 4) (District),Migrant Students (CAASPP-Math Levels 3 and 4) (District),Migrant Students (CAASPP-ELA Levels 3 and 4) (District),English Learners (CAASPP-Math Levels 3 and 4) (District),English Learners (CAASPP-ELA Levels 3 and 4) (District),Disadvantaged Students (CAASPP-Math Levels 3 and 4) (District),Disadvantaged Students (CAASPP-ELA Levels 3 and 4) (District),Gen Fund Exp by Object Code - 1000-1999 Certificated Salaries Per Student (District),Gen Fund Exp by Object Code - 2000-2999 Classified Salaries Per Student (District),Gen Fund Exp by Object Code - 3000-3999 Employee Benefits Per Student (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Gen Fund Exp by Object Code - 5000-5999 Services & Other Op Exp Per Student (District),Gen Fund Rev by Object Code - 8010-8099 Rev Limit Sources/LCFF Per Student (District),Gen Fund Rev by Object Code - 8100-8299 Federal Revenue Per Student (District),Gen Fund Rev by Object Code - 8300-8599 Other State Revenue Per Student (District),Gen Fund Rev by Object Code - 8600-8799 Other Local Revenue Per Student (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Total Gen Fund Expenditures (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Per Student # (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Total Gen Fund Expenditures Per Student (District),Total Gen Fund Revenues Per Student (District),Total Gen Fund Revenues (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Per Student # (District),Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Redesignated FEP (RFEP) # (District),Redesignated FEP (RFEP) % (District),Special Education # (District),Cohort Graduates % (District),Grads Mtg UC/CSU # (District),Black or African American # (UC/CSU) (District),American Indian or Alaska Native # (UC/CSU) (District),Asian # (UC/CSU) (District),Filipino # (UC/CSU) (District),Hispanic or Latino # (UC/CSU) (District),Native Hawaiian or Pacific Islander # (UC/CSU) (District),White # (UC/CSU) (District),Two or More Races # (UC/CSU) (District),None Reported # (UC/CSU) (District),ACT Avg Results-English # (District),ACT Avg Results-Math # (District),ACT Avg Results-Reading # (District),ACT Avg Results-Science # (District),ACT Test Takers # (District),American Indian or Alaska Native # (Cohort Grads) (District),Asian # (Cohort Grads) (District),Native Hawaiian or Pac Islander # (Cohort Grads) (District),Filipino # (Cohort Grads) (District),Hispanic or Latino # (Cohort Grads) (District),Black or African American # (Cohort Grads) (District),White # (Cohort Grads) (District),Two or More Races # (Cohort Grads) (District),None Reported # (Cohort Grads) (District),Advanced Placement (AP) Test Taking # (District),AP Score-1 (District),AP Score-2 (District),AP Score-3 (District),AP Score-4 (District),AP Score-5 (District),Cohort Dropouts # (District),Cohort Dropouts % (District),American Indian or Alaska Native # (Cohort Dropouts) (District),Asian # (Cohort Dropouts) (District),Native Hawaiian or Pac Islander # (Cohort Dropouts) (District),Filipino # (Cohort Dropouts) (District),Hispanic or Latino # (Cohort Dropouts) (District),Black or African American # (Cohort Dropouts) (District),White # (Cohort Dropouts) (District),Two or More Races # (Cohort Dropouts) (District),None Reported # (Cohort Dropouts) (District),SAT Test Takers # (District),Cohort Graduates # (District),Grads Mtg UC/CSU % (District),SAT Avg Results-Mathematics # (District),SAT Avg Results-Reading # (District),SAT Avg Results-Writing # (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District),Year
0,ABC Unified (Los Angeles),,,,,No,19-64212-0000000,Cerritos,Unified School District,Los Angeles,90703.0,,23.0,11.0,14.0,35.0,-2.2,0.0,10991.0,14874.0,6313.0,90000.0,66055.0,45000.0,71507.0,180.0,914.0,903.3,179.0,,,,,,,,,4131.0,1410.0,1605.0,269.0,547.0,5047.0,863.0,1814.0,229.0,7815.0,163003921.0,0,6,966.0,0.0,0.0,0,8192.0,7953.0,158236801.0,12,508.0,5188.0,0,0,6,63,475.0,10,850.0,19898,4478.0,21.6,20748,59,48.0,5772.0,2122.0,2094.0,8491.0,177.0,374.0,12.0,1658.0,0.2,27.8,10.2,10.1,40.9,0.9,1.8,0.1,8.0,4805,23.2,,9431,45.5,,,,,454,11,,88.4,701,38,redacted,421,98,85,redacted,41,redacted,redacted,,,,,0,redacted,605,15,178,464,170,117,15,redacted,0,0,0,0,0,0,92,5.2,redacted,redacted,redacted,redacted,56,redacted,12,redacted,redacted,0,1570,42.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
1,Acalanes Union High (Contra Costa),,,,,No,07-61630-0000000,Lafayette,High School District,Contra Costa,94549.0,,20.2,5.0,11.0,3.0,0.0,0.0,16616.0,16616.0,16616.0,89801.0,70148.0,40000.0,76971.0,186.0,301.0,280.4,180.0,,,,,,,,,4885.0,1439.0,1988.0,251.0,1159.0,5835.0,361.0,757.0,2564.0,9327.0,52504630.0,2,10,1129.0,179.0,23.0,0,9724.0,9516.0,51385540.0,12,958.0,5525.0,2,0,8,57,753.0,12,1118.0,5400,93.0,1.6,5654,32,10.0,640.0,64.0,79.0,459.0,16.0,367.0,34.0,3985.0,0.2,11.3,1.1,1.4,8.1,0.3,6.5,0.6,70.5,509,9,,128,2.3,,,,,10,11.9,,95.5,545,redacted,redacted,61,redacted,32,redacted,397,48,redacted,,,,,0,redacted,121,redacted,redacted,93,redacted,848,84,redacted,0,0,0,0,0,0,41,3.3,redacted,redacted,redacted,redacted,redacted,redacted,21,redacted,redacted,0,1175,39.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
2,Ackerman Charter (Placer),,,,,No,31-66761-0000000,Auburn,Elementary School District,Placer,95603.0,,18.6,0.0,9.0,2.0,0.0,0.0,7474.0,7474.0,7474.0,69919.0,54308.0,40588.0,55020.0,182.0,27.0,27.0,180.0,,,,,,,,,3757.0,839.0,1132.0,240.0,481.0,4871.0,390.0,987.0,448.0,6474.0,3217331.0,0,7,541.0,16.0,2.0,0,6704.0,6696.0,3213348.0,8,465.0,4368.0,0,0,6,65,428.0,12,796.0,480,3.0,0.6,503,20,2.0,5.0,7.0,6.0,59.0,0.0,12.0,2.0,410.0,0.4,1.0,1.4,1.2,11.7,0.0,2.4,0.4,81.5,8,1.6,,146,29,,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
3,Acton-Agua Dulce Unified (Los Angeles),,,,,No,19-75309-0000000,Acton,Unified School District,Los Angeles,93510.0,,22.3,4.0,10.0,5.0,,,,,,,,,,,84.0,80.6,,,,,,,,,,4326.0,1309.0,1067.0,380.0,945.0,5110.0,592.0,949.0,744.0,7931.0,13574864.0,1,11,692.0,64.0,0.0,0,8208.0,7395.0,12230891.0,8,904.0,4936.0,0,0,9,60,741.0,9,737.0,1654,170.0,9.5,1795,34,18.0,18.0,16.0,10.0,519.0,2.0,38.0,2.0,1172.0,1.0,1.0,0.9,0.6,28.9,0.1,2.1,0.1,65.3,64,3.6,,518,28.9,,,,,31,16.9,,79.1,123,redacted,redacted,redacted,redacted,32,redacted,88,redacted,redacted,,,,,0,redacted,redacted,,redacted,32,redacted,86,,redacted,0,0,0,0,0,0,27,17.6,redacted,redacted,,redacted,redacted,redacted,18,,redacted,0,121,99.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
4,Adelanto Elementary (San Bernardino),,,,,No,36-67587-0000000,Adelanto,Elementary School District,San Bernardino,92301.0,,24.0,4.0,8.0,17.0,-3.7,9812.0,0.0,0.0,0.0,90002.0,60244.0,37938.0,59853.0,180.0,355.0,351.5,175.0,,,,,,,,,3319.0,1272.0,1398.0,227.0,740.0,4766.0,581.0,784.0,344.0,6874.0,54968465.0,0,8,807.0,0.0,10.0,0,6967.0,6475.0,51080754.0,12,550.0,4323.0,0,0,7,62,493.0,11,773.0,7890,1894.0,22.5,8428,40,43.0,126.0,1794.0,54.0,5218.0,45.0,217.0,28.0,903.0,0.5,1.5,21.3,0.6,61.9,0.5,2.6,0.3,10.7,1010,12,,6890,81.8,,,,,398,21.3,,,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,redacted,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
5,Alameda County Office of Education (Alameda),,,,,No,01-10017-0000000,Hayward,County Office of Education (COE),Alameda,94544.0,,19.1,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,99919.0,77098.0,53215.0,84632.0,185.0,132.0,126.8,182.0,,,,,,,,,,,,,,,,,,,46623939.0,9,2,,,,0,0.0,,47932993.0,33,,,,3,24,14,,3,,,449.0,18.5,2421,62,18.0,303.0,609.0,34.0,540.0,40.0,5.0,79.0,793.0,0.7,12.5,25.2,1.4,22.3,1.7,0.2,3.3,32.8,341,14.1,,1287,53.2,,,,,211,48.1,,75.8,23,13,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,,,,,0,71,3204,213,807,3072,1828,3998,219,65,0,0,0,0,0,0,3047,17.1,23,236,63,92,1197,969,368,24,75,0,13477,16.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
6,Alameda Unified (Alameda),,,,,No,01-61119-0000000,Alameda,Unified School District,Alameda,94501.0,,20.3,6.0,11.0,38.0,3.0,0.0,13856.0,18013.0,6928.0,82042.0,61914.0,43025.0,66819.0,185.0,540.0,516.9,180.0,,,,,,,,,4800.0,1436.0,1293.0,199.0,1096.0,5053.0,755.0,1257.0,1714.0,8630.0,83980667.0,1,5,1066.0,77.0,16.0,0,8959.0,8779.0,82291181.0,12,437.0,5952.0,0,0,5,66,492.0,9,796.0,9374,2339.0,22.3,10471,63,66.0,3389.0,1267.0,920.0,1019.0,139.0,125.0,364.0,3182.0,0.6,32.4,12.1,8.8,9.7,1.3,1.2,3.5,30.4,1678,16,,3503,33.5,,,,,263,11.3,,81.8,309,21,redacted,161,17,26,redacted,82,redacted,redacted,,,,,0,redacted,301,redacted,63,87,86,205,redacted,redacted,0,0,0,0,0,0,104,11.2,redacted,19,redacted,redacted,12,29,30,redacted,redacted,0,758,39.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
7,Albany City Unified (Alameda),,,,,No,01-61127-0000000,Albany,Unified School District,Alameda,94706.0,,19.5,3.0,11.0,23.0,0.0,0.0,15312.0,19936.0,7884.0,83985.0,62305.0,42779.0,65943.0,184.0,200.0,195.4,180.0,,,,,,,,,4574.0,1004.0,1885.0,324.0,811.0,5088.0,2176.0,4577.0,1618.0,8356.0,48733889.0,1,3,968.0,85.0,0.0,0,13315.0,13459.0,49263398.0,7,360.0,5847.0,0,0,5,44,673.0,5,629.0,3660,720.0,18.9,3807,48,23.0,1288.0,264.0,75.0,144.0,17.0,60.0,334.0,1602.0,0.6,33.8,6.9,2.0,3.8,0.4,1.6,8.8,42.1,509,13.4,,754,19.8,,,,,80,10.3,,92.3,115,redacted,redacted,60,redacted,redacted,redacted,44,redacted,redacted,,,,,0,redacted,131,redacted,redacted,27,28,119,redacted,redacted,0,0,0,0,0,0,23,6.6,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,0,322,35.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
8,Alexander Valley Union Elementary (Sonoma),,,,,No,49-70599-0000000,Healdsburg,Elementary School District,Sonoma,95448.0,,15.2,0.0,9.0,0.0,,,,,,,,,,,14.0,8.4,,,,,,,,,,5356.0,2152.0,1929.0,536.0,1795.0,9139.0,910.0,2713.0,1144.0,11640.0,1567568.0,0,7,1357.0,0.0,103.0,0,12450.0,13906.0,1750846.0,11,823.0,7522.0,0,1,7,60,842.0,9,1125.0,126,28.0,21.9,128,29,0.0,1.0,1.0,0.0,33.0,1.0,1.0,0.0,91.0,0.0,0.8,0.8,0.0,25.8,0.8,0.8,0.0,71.1,1,0.8,,29,22.7,,,,,1,3.9,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
9,Alhambra Unified (Los Angeles),,,,,No,19-75713-0000000,Alhambra,Unified School District,Los Angeles,91803.0,,25.3,18.0,15.0,25.0,0.0,0.0,0.0,13394.0,0.0,97260.0,66490.0,35430.0,70053.0,182.0,738.0,733.4,180.0,,,,,,,,,4109.0,1324.0,2144.0,269.0,878.0,5616.0,1229.0,1425.0,754.0,8047.0,160189152.0,1,10,1141.0,52.0,55.0,0,8929.0,9025.0,161904624.0,13,906.0,5113.0,0,1,6,57,532.0,11,941.0,17941,5514.0,29.7,18541,40,20.0,9586.0,142.0,258.0,7708.0,31.0,144.0,0.0,652.0,0.1,51.7,0.8,1.4,41.6,0.2,0.8,0.0,3.5,5927,32,,12741,68.7,,,,,705,10.8,,89.3,753,redacted,redacted,618,redacted,101,redacted,16,redacted,redacted,,,,,0,redacted,1074,redacted,14,602,14,42,redacted,,0,0,0,0,0,0,121,6.1,redacted,37,redacted,redacted,78,redacted,redacted,redacted,,0,1761,41.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-2010
