,District Name,Expulsions (District),Suspensions (District),Suspensions (In School) (District),Suspensions (Out of School) (District),All Charter Schools (Y/N) (District),CDS Number (District),City (District),District Type (District),County Name (District),Zip (District),Grade Span (District),2nd Year Teachers (District),Avg Years Teaching (District),Per Pupil Ratio: Teacher (District),Salary Change (District),TchrBnft-Max Annual-2Party Plan $ Pd (District),TchrBnft-Max Annual-Cafe Plan $ Pd (District),TchrBnft-Max Annual-Family Pln $ Pd (District),TchrBnft-Max Annual-Single Plan $ Pd (District),Teacher BA60 Step-10 Offered (District),Teacher Highest Salary Offered (District),Teacher Lowest Salary Offered (District),Teacher Salary-Avg (District),Teacher Service Days (District),Teachers-# (District),Teachers-FTE (District),Teaching Days (District),1st Year Teachers (District),Students w/Disabilities (CAASPP-Math Levels 3 and 4) (District),Students w/Disabilities (CAASPP-ELA Levels 3 and 4) (District),Migrant Students (CAASPP-Math Levels 3 and 4) (District),Migrant Students (CAASPP-ELA Levels 3 and 4) (District),English Learners (CAASPP-Math Levels 3 and 4) (District),English Learners (CAASPP-ELA Levels 3 and 4) (District),Disadvantaged Students (CAASPP-Math Levels 3 and 4) (District),Disadvantaged Students (CAASPP-ELA Levels 3 and 4) (District),Gen Fund Exp by Object Code - 1000-1999 Certificated Salaries Per Student (District),Gen Fund Exp by Object Code - 2000-2999 Classified Salaries Per Student (District),Gen Fund Exp by Object Code - 3000-3999 Employee Benefits Per Student (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Gen Fund Exp by Object Code - 5000-5999 Services & Other Op Exp Per Student (District),Gen Fund Rev by Object Code - 8010-8099 Rev Limit Sources/LCFF Per Student (District),Gen Fund Rev by Object Code - 8100-8299 Federal Revenue Per Student (District),Gen Fund Rev by Object Code - 8300-8599 Other State Revenue Per Student (District),Gen Fund Rev by Object Code - 8600-8799 Other Local Revenue Per Student (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Total Gen Fund Expenditures (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Per Student # (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Total Gen Fund Expenditures Per Student (District),Total Gen Fund Revenues Per Student (District),Total Gen Fund Revenues (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Per Student # (District),Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Redesignated FEP (RFEP) # (District),Redesignated FEP (RFEP) % (District),Special Education # (District),Cohort Graduates % (District),Grads Mtg UC/CSU # (District),Black or African American # (UC/CSU) (District),American Indian or Alaska Native # (UC/CSU) (District),Asian # (UC/CSU) (District),Filipino # (UC/CSU) (District),Hispanic or Latino # (UC/CSU) (District),Native Hawaiian or Pacific Islander # (UC/CSU) (District),White # (UC/CSU) (District),Two or More Races # (UC/CSU) (District),None Reported # (UC/CSU) (District),ACT Avg Results-English # (District),ACT Avg Results-Math # (District),ACT Avg Results-Reading # (District),ACT Avg Results-Science # (District),ACT Test Takers # (District),American Indian or Alaska Native # (Cohort Grads) (District),Asian # (Cohort Grads) (District),Native Hawaiian or Pac Islander # (Cohort Grads) (District),Filipino # (Cohort Grads) (District),Hispanic or Latino # (Cohort Grads) (District),Black or African American # (Cohort Grads) (District),White # (Cohort Grads) (District),Two or More Races # (Cohort Grads) (District),None Reported # (Cohort Grads) (District),Advanced Placement (AP) Test Taking # (District),AP Score-1 (District),AP Score-2 (District),AP Score-3 (District),AP Score-4 (District),AP Score-5 (District),Cohort Dropouts # (District),Cohort Dropouts % (District),American Indian or Alaska Native # (Cohort Dropouts) (District),Asian # (Cohort Dropouts) (District),Native Hawaiian or Pac Islander # (Cohort Dropouts) (District),Filipino # (Cohort Dropouts) (District),Hispanic or Latino # (Cohort Dropouts) (District),Black or African American # (Cohort Dropouts) (District),White # (Cohort Dropouts) (District),Two or More Races # (Cohort Dropouts) (District),None Reported # (Cohort Dropouts) (District),SAT Test Takers # (District),Cohort Graduates # (District),Grads Mtg UC/CSU % (District),SAT Avg Results-Mathematics # (District),SAT Avg Results-Reading # (District),SAT Avg Results-Writing # (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District),Year
0,ABC Unified (Los Angeles),,,,,No,19-64212-0000000,Cerritos,Unified School District,Los Angeles,90703,K-Adult,38.0,14.0,23.5,4.0,17196.0,0.0,19297.0,9139.0,75221.0,102144.0,51240.0,81550.0,184.0,906.0,887.9,180.0,33.0,15,20,29,41,24,26,37,49,4741.0,1637.0,2411.0,634.0,858,8424.0,504.0,1863.0,330.0,10054.0,209370972.0,0.0,8.0,1163.0,0.0,0,0.0,10372.0,11121.0,224489861.0,11.0,788,6763.0,0,0.0,5.0,65.0,544.0,10.0,1000.0,20186.0,4391.0,21.0,20863.0,56.0,59.0,5089.0,1819.0,2437.0,9436.0,159.0,427.0,63.0,1374.0,0.3,24.4,8.7,11.7,45.2,0.8,2.0,0.3,6.6,4635.0,22.2,97,10503.0,50.3,11648.0,55.6,,,520.0,11.6,,,,,,,,,,,,,26,27,26,25,332.0,,,,,,,,,,1790.0,359,727,820,716,788,,,,,,,,,,,,883.0,,,546,514,512,29,24,24,23,53,56,83,36,70,34,34,63,57,52,54,64,32,31,20,16,56,86,51,81,49,47,76,69,58,69,2015-2016
1,Acalanes Union High (Contra Costa),,,,,No,07-61630-0000000,Lafayette,High School District,Contra Costa,94549,09-12,4.0,12.0,20.2,4.0,19649.0,0.0,25024.0,10692.0,77010.0,98585.0,43913.0,87308.0,186.0,291.0,274.0,180.0,3.0,13,40,,,27,14,29,57,5881.0,1727.0,3237.0,416.0,1695,8612.0,248.0,1262.0,3372.0,12770.0,68745333.0,2.0,10.0,1334.0,258.0,24,0.0,12993.0,13494.0,71397597.0,10.0,1328,7523.0,1,0.0,9.0,58.0,1171.0,10.0,1352.0,5291.0,101.0,1.8,5546.0,36.0,9.0,688.0,87.0,120.0,487.0,19.0,391.0,51.0,3694.0,0.2,12.4,1.6,2.2,8.8,0.3,7.1,0.9,66.6,707.0,12.7,redacted,218.0,3.9,284.0,5.6,,,30.0,25.6,,,,,,,,,,,,,27,27,28,26,627.0,,,,,,,,,,1943.0,57,335,839,1190,1290,,,,,,,,,,,,928.0,,,598,590,590,37,32,17,14,69,redacted,79,33,65,54,redacted,72,70,70,68,83,50,33,10,6,redacted,86,67,81,74,redacted,86,84,78,88,2015-2016
2,Ackerman Charter (Placer),,,,,Yes,31-66761-0000000,Auburn,Elementary School District,Placer,95603,K-08,1.0,9.0,19.5,3.0,7474.0,0.0,7474.0,7474.0,61139.0,80286.0,45692.0,63033.0,182.0,31.0,28.5,180.0,4.0,24,31,,,redacted,redacted,32,50,4227.0,1097.0,1778.0,344.0,669,7451.0,223.0,1680.0,483.0,8059.0,5254023.0,0.0,8.0,732.0,43.0,2,0.0,9788.0,9837.0,5280061.0,7.0,767,5393.0,0,0.0,6.0,55.0,600.0,18.0,1779.0,537.0,11.0,2.0,556.0,21.0,2.0,8.0,2.0,3.0,70.0,0.0,22.0,8.0,441.0,0.4,1.4,0.4,0.5,12.6,0.0,4.0,1.4,79.3,13.0,2.3,redacted,145.0,26.1,147.0,27.1,,,2.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,30,28,13,58,redacted,redacted,redacted,redacted,45,,69,60,63,54,70,31,39,17,12,redacted,redacted,redacted,redacted,60,,92,72,69,72,2015-2016
3,Acton-Agua Dulce Unified (Los Angeles),,,,,No,19-75309-0000000,Acton,Unified School District,Los Angeles,93510,K-12,35.0,2.0,16.6,,,,,,,,,,,508.0,449.5,,98.0,9,12,,,24,21,22,36,5537.0,2071.0,1643.0,744.0,1943,8095.0,712.0,1107.0,5683.0,11742.0,14164135.0,1.0,9.0,1488.0,121.0,0,0.0,13609.0,15597.0,16232239.0,11.0,1183,6042.0,0,0.0,13.0,44.0,1757.0,10.0,1346.0,1041.0,557.0,7.5,7475.0,51.0,50.0,273.0,566.0,127.0,2483.0,19.0,407.0,198.0,3352.0,0.7,3.7,7.6,1.7,33.2,0.3,5.4,2.6,44.8,550.0,7.4,25,2628.0,35.2,435.0,43.5,,,22.0,8.0,,,,,,,,,,,,,redacted,redacted,redacted,redacted,12.0,,,,,,,,,,99.0,41,51,47,28,10,,,,,,,,,,,,48.0,,,491,533,505,12,21,34,34,32,redacted,redacted,redacted,redacted,22,redacted,50,38,33,32,47,17,31,29,23,redacted,redacted,redacted,redacted,37,redacted,44,55,42,54,2015-2016
4,Adelanto Elementary (San Bernardino),,,,,No,36-67587-0000000,Adelanto,Elementary School District,San Bernardino,92301,K-12,33.0,7.0,24.4,10.4,0.0,10200.0,0.0,0.0,71958.0,101217.0,48022.0,76061.0,182.0,475.0,449.0,180.0,76.0,3,5,,,4,6,11,23,4074.0,1506.0,2286.0,450.0,1144,8778.0,496.0,1245.0,376.0,9378.0,75854098.0,0.0,9.0,944.0,0.0,9,0.0,9534.0,10895.0,86689636.0,10.0,865,6029.0,0,0.0,7.0,63.0,656.0,10.0,926.0,7957.0,2081.0,19.0,10970.0,39.0,72.0,107.0,2366.0,65.0,6711.0,93.0,264.0,201.0,1091.0,0.7,1.0,21.6,0.6,61.2,0.8,2.4,1.8,9.9,1054.0,9.6,240,9502.0,86.6,7460.0,89.1,,,261.0,12.9,,,,,,,,,,,,,redacted,redacted,redacted,redacted,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,10.0,,,redacted,redacted,redacted,3,10,26,62,13,13,33,6,45,13,24,12,20,12,13,24,6,18,26,50,13,54,15,56,26,41,19,34,20,29,2015-2016
5,Alameda County Office of Education (Alameda),,,,,No,01-10017-0000000,Hayward,County Office of Education (COE),Alameda,94544,P-12,16.0,5.0,17.6,,,,,,,,,,,160.0,156.5,,18.0,25,19,,,62,40,6,16,,,,,,,,,,,47106856.0,1.0,3.0,,,,0.0,,,46528707.0,31.0,,,,2.0,31.0,17.0,,5.0,,,915.0,33.2,2753.0,48.0,20.0,215.0,558.0,23.0,1488.0,33.0,192.0,30.0,194.0,0.7,7.8,20.3,0.8,54.1,1.2,7.0,1.1,7.0,547.0,19.9,48,1884.0,68.1,360.0,,,,86.0,7.5,,,,,,,,,,,,,redacted,redacted,redacted,redacted,14.0,,,,,,,,,,72.0,54,11,15,12,2,,,,,,,,,,,,95.0,,,378,395,388,45,16,10,29,62,redacted,84,10,redacted,19,redacted,84,75,56,69,60,43,17,12,28,redacted,82,9,redacted,23,redacted,79,75,50,73,2015-2016
6,Alameda Unified (Alameda),,,,,No,01-61119-0000000,Alameda,Unified School District,Alameda,94501,K-Adult,41.0,9.0,19.2,4.0,6886.0,0.0,8007.0,5413.0,65872.0,87287.0,45776.0,70250.0,185.0,605.0,579.4,180.0,31.0,16,20,,,33,34,36,45,5373.0,1826.0,2066.0,434.0,1628,7961.0,409.0,1426.0,2355.0,11179.0,106833833.0,1.0,7.0,1192.0,175.0,16,0.0,11782.0,12150.0,110174279.0,10.0,830,7284.0,0,0.0,6.0,62.0,729.0,13.0,1491.0,9068.0,1959.0,17.6,11101.0,69.0,35.0,2957.0,975.0,783.0,1877.0,98.0,1012.0,32.0,3332.0,0.3,26.6,8.8,7.1,16.9,0.9,9.1,0.3,30.0,1804.0,16.3,22,2979.0,26.8,3385.0,38.3,,,145.0,7.2,,,,,,,,,,,,,25,25,25,24,227.0,,,,,,,,,,809.0,188,387,451,340,244,,,,,,,,,,,,472.0,,,543,527,514,29,29,24,18,58,25,72,29,51,41,29,61,64,58,58,67,34,33,18,15,50,75,36,64,54,40,73,75,62,72,2015-2016
7,Albany City Unified (Alameda),,,,,No,01-61127-0000000,Albany,Unified School District,Alameda,94706,K-Adult,13.0,7.0,18.5,2.0,25956.0,0.0,33756.0,13245.0,68076.0,91763.0,46742.0,70558.0,184.0,220.0,206.2,180.0,23.0,27,35,,,59,56,57,62,5530.0,1463.0,3766.0,404.0,1220,7839.0,289.0,2418.0,2187.0,11998.0,45702196.0,1.0,4.0,1621.0,129.0,90,0.0,12338.0,12733.0,47164594.0,13.0,508,7901.0,0,1.0,8.0,64.0,1005.0,9.0,1085.0,3704.0,607.0,15.9,3822.0,60.0,5.0,1062.0,140.0,56.0,622.0,8.0,500.0,2.0,1427.0,0.1,27.8,3.7,1.5,16.3,0.2,13.1,0.1,37.3,590.0,15.4,redacted,681.0,17.8,1112.0,31.3,,,21.0,3.0,,,,,,,,,,,,,26,26,26,25,103.0,,,,,,,,,,278.0,21,69,158,189,153,,,,,,,,,,,,179.0,,,607,585,575,45,28,19,8,73,redacted,82,51,71,56,redacted,71,78,73,74,77,44,33,15,8,redacted,80,53,81,66,redacted,77,82,71,83,2015-2016
8,Alexander Valley Union Elementary (Sonoma),,,,,No,49-70599-0000000,Healdsburg,Elementary School District,Sonoma,95448,K-06,0.0,8.0,15.4,,,,,,,,,,,8.0,8.0,,0.0,redacted,redacted,redacted,redacted,38,50,52,52,6654.0,2920.0,2877.0,812.0,3346,14539.0,484.0,1374.0,1891.0,16457.0,1946307.0,0.0,5.0,1984.0,0.0,182,0.0,16608.0,18289.0,2143241.0,12.0,901,10646.0,0,1.0,9.0,64.0,1542.0,8.0,1352.0,117.0,27.0,22.0,123.0,35.0,0.0,0.0,1.0,0.0,48.0,0.0,2.0,0.0,72.0,0.0,0.0,0.8,0.0,39.0,0.0,1.6,0.0,58.5,3.0,2.4,redacted,32.0,26.0,44.0,34.8,,,3.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,34,26,11,63,,,,,54,,redacted,69,61,65,63,26,37,19,18,,,,,62,,redacted,64,58,68,2015-2016
9,Alhambra Unified (Los Angeles),,,,,No,19-75713-0000000,Alhambra,Unified School District,Los Angeles,91803,K-12,18.0,15.0,23.7,8.0,0.0,0.0,0.0,0.0,77395.0,113212.0,41237.0,81234.0,182.0,734.0,729.1,180.0,13.0,9,11,32,37,34,25,46,55,5024.0,1658.0,3162.0,505.0,1109,9283.0,675.0,1517.0,1025.0,10711.0,201465697.0,1.0,10.0,1418.0,63.0,62,0.0,11978.0,12500.0,210243385.0,12.0,1219,6808.0,0,1.0,6.0,57.0,700.0,13.0,1530.0,16820.0,3991.0,23.1,17301.0,40.0,38.0,8704.0,120.0,342.0,7324.0,18.0,389.0,40.0,326.0,0.2,50.3,0.7,2.0,42.3,0.1,2.2,0.2,1.9,5986.0,34.6,69,11626.0,67.2,12356.0,72.4,,,1308.0,26.8,,,,,,,,,,,,,22,25,23,23,571.0,,,,,,,,,,2036.0,446,693,809,693,779,,,,,,,,,,,,1092.0,,,556,496,491,28,24,24,24,52,19,72,37,63,28,redacted,66,37,50,54,60,29,31,20,20,33,73,48,77,45,redacted,72,59,54,67,2015-2016
