,District Name,CDS Number (District),CAASPP-ELA Standard Exceeded (Level 4) (District),CAASPP-ELA Standard Met (Level 3) (District),CAASPP-ELA Standard Nearly Met (Level 2) (District),CAASPP-ELA Standard Not Met (Level 1) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),American Indian or Alaska Native (CAASPP-ELA Levels 3 and 4) (District),Asian (CAASPP-ELA Levels 3 and 4) (District),Black or African American (CAASPP-ELA Levels 3 and 4) (District),Filipino (CAASPP-ELA Levels 3 and 4) (District),Hispanic or Latino (CAASPP-ELA Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-ELA Levels 3 and 4) (District),Two or More Races (CAASPP-ELA Levels 3 and 4) (District),White (CAASPP-ELA Levels 3 and 4) (District),Males (CAASPP-ELA Levels 3 and 4) (District),Females (CAASPP-ELA Levels 3 and 4) (District)
0,ABC Unified (Los Angeles),19-64212-0000000,34.1,30.7,18.9,16.4,64.7,63.6,87.5,53.3,83,49.3,48.3,79.8,67.8,60.2,69.3
1,Acalanes Union High (Contra Costa),07-61630-0000000,55.1,28.7,10.4,5.8,83.8,redacted,89.9,45.8,94.7,74.3,redacted,92.3,83.9,79.6,88
2,Ackerman Charter (Placer),31-66761-0000000,35.4,39,17.3,8.2,74.5,redacted,redacted,redacted,redacted,66.7,,80,75.9,71.4,77.3
3,Acton-Agua Dulce Unified (Los Angeles),19-75309-0000000,16.7,34.5,26.2,22.7,51.1,redacted,redacted,redacted,redacted,40.8,redacted,57.1,59.9,45.8,57.3
4,Adelanto Elementary (San Bernardino),36-67587-0000000,5.8,15.8,25.4,53,21.5,23.5,47.5,13.1,48.5,23.4,32.1,18.3,24.9,17.6,25.6
5,Alameda County Office of Education (Alameda),01-10017-0000000,0,4.6,18.2,77.3,4.6,,redacted,0,redacted,6.7,redacted,redacted,redacted,3.3,7.1
6,Alameda Unified (Alameda),01-61119-0000000,34.3,31.7,17.3,16.8,65.9,64.3,74.1,34.1,60.5,51.6,36.7,69.6,75.1,61.4,70.8
7,Albany City Unified (Alameda),01-61127-0000000,44,35.4,12.9,7.8,79.4,redacted,82.9,67.9,50,66.2,redacted,78.7,84.7,75.4,83.5
8,Alexander Valley Union Elementary (Sonoma),49-70599-0000000,30.8,30.8,15.4,23.1,61.5,,,,,44,,,72.5,50,71.4
9,Alhambra Unified (Los Angeles),19-75713-0000000,32.5,30.8,18.1,18.6,63.3,47.1,74.3,39.6,78.3,49.4,redacted,74.3,59.9,57.3,69.5
10,Alisal Union (Monterey),27-65961-0000000,7.4,20.5,24.7,47.4,27.9,redacted,61.9,72.7,68.6,26.9,45.5,83.3,42.4,23,33.2
11,Allensworth Elementary (Tulare),54-71795-0000000,4.9,9.8,36.6,48.8,14.6,,,,,15,,,redacted,5.9,20.8
12,Alpaugh Unified (Tulare),54-71803-0000000,1.7,15.8,24.9,57.6,17.5,,redacted,,redacted,17.2,,,redacted,12.8,22
13,Alpine County Office of Education (Alpine),02-10025-0000000,,,,,,,,,,,,,,,
14,Alpine County Unified (Alpine),02-61333-0000000,11.9,42.4,18.6,27.1,54.2,43.5,,,,redacted,,redacted,58.1,42.9,70.8
15,Alpine Union Elementary (San Diego),37-67967-0000000,18.1,37.1,25.4,19.4,55.3,39.7,66.7,27.6,60,49.1,redacted,66.7,59.3,51.8,58.6
16,Alta Loma Elementary (San Bernardino),36-67595-0000000,28.4,36.8,20.8,14,65.2,55,83.1,48.7,87.7,59.1,87,61,70.9,60.6,70.1
17,Alta Vista Elementary (Tulare),54-71811-0000000,1.4,12.7,23.6,62.3,14.1,redacted,redacted,,,13.6,16.7,redacted,14.6,8,21.2
18,Alta-Dutch Flat Union Elementary (Placer),31-66779-0000000,36.5,35.1,17.6,10.8,71.6,redacted,redacted,,,redacted,,redacted,71.4,61.9,84.4
19,Alum Rock Union Elementary (Santa Clara),43-69369-0000000,12.3,25.6,26.5,35.6,37.9,38.5,62.5,35.6,59.9,32.1,34.3,56.9,64.4,32.6,43.7
20,Alview-Dairyland Union Elementary (Madera),20-65177-0000000,15.5,33.1,30.5,21,48.5,,redacted,,redacted,34.3,,,65.9,43.1,53.2
21,Alvina Elementary (Fresno),10-61994-0000000,20.4,25,21.3,33.3,45.4,redacted,,,,43.3,redacted,,60,44.3,46.8
22,Alvord Unified (Riverside),33-66977-0000000,12,26.9,27.2,34,38.8,25,68.8,37.2,70.5,35.2,40,57.7,51.9,33.4,44.4
23,Amador County Office of Education (Amador),03-10033-0000000,1.5,13.7,16.8,67.9,15.3,redacted,,,,14.3,,9.1,16.3,5.2,29.6
24,Amador County Unified (Amador),03-73981-0000000,15.5,30.5,26.1,27.9,46,35.1,64.7,15.4,69.2,37.9,redacted,48.2,48.4,40.1,51.6
25,Anaheim Elementary (Orange),30-66423-0000000,8.7,17.8,22.9,50.7,26.4,redacted,63,31.9,61.8,22.8,40.9,37.5,42.9,23.4,29.7
26,Anaheim Union High (Orange),30-66431-0000000,16.5,29.5,23.8,30.2,46,44.1,82.6,43,76.6,35,47.2,66.6,55.8,40.3,52
27,Anderson Union High (Shasta),45-69856-0000000,19.5,36.8,24,19.8,56.3,54.6,redacted,redacted,redacted,50.9,redacted,redacted,58,48.9,65.2
28,Anderson Valley Unified (Mendocino),23-65540-0000000,15.6,30,30,24.4,45.6,redacted,,redacted,,39.1,,redacted,66,40.6,50.8
29,Antelope Elementary (Tehama),52-71472-0000000,18.9,35.7,24.5,20.9,54.6,53.9,redacted,redacted,redacted,48,redacted,66.7,56.3,52.1,57
30,Antelope Valley Union High (Los Angeles),19-64246-0000000,14.4,30,28.2,27.4,44.4,31.6,82.7,27.2,79.8,42.8,redacted,54.6,62,38.3,50.5
31,Antioch Unified (Contra Costa),07-61648-0000000,9.1,22.4,25.4,43.2,31.4,19.6,50.8,20.2,60.1,28.2,33,38.2,43.4,25.4,37.6
32,Apple Valley Unified (San Bernardino),36-75077-0000000,12.5,26.7,28,32.8,39.2,33.3,65,21.8,69.2,34.4,32.3,42.5,47.4,33.6,44.8
33,Arcadia Unified (Los Angeles),19-64261-0000000,47.6,31.8,11.9,8.7,79.4,redacted,85.6,64.2,82.4,56,redacted,73,75.8,76.6,82.3
34,Arcata Elementary (Humboldt),12-62679-0000000,23.8,28.2,27.4,20.6,52.1,35,redacted,redacted,,48.2,redacted,50,54.8,47,56.8
35,Arcohe Union Elementary (Sacramento),34-67280-0000000,11,29.7,28.6,30.8,40.7,redacted,redacted,redacted,redacted,35.4,redacted,41.7,48.3,36.1,46
36,Arena Union Elementary (Mendocino),23-65557-0000000,11.2,22.9,26.8,39.1,34.1,31.6,,,,22.6,,redacted,52.6,27.5,40.9
37,Arena Union Elementary/Point Arena Joint Union High (Mendocino),23-76349-0000000,,,,,,,,,,,,,,,
38,Armona Union Elementary (Kings),16-63875-0000000,5.1,22.3,28.9,43.8,27.4,redacted,redacted,16.7,redacted,26.6,,redacted,32,22.3,31.8
39,Aromas/San Juan Unified (San Benito),35-75259-0000000,12.8,30,25.5,31.7,42.8,,redacted,,redacted,37.4,,redacted,55.3,38.4,47.3
40,Arvin Union (Kern),15-63313-0000000,6.7,22.1,25.1,46.1,28.8,redacted,redacted,redacted,redacted,28.5,,redacted,35.6,24.7,33
41,Atascadero Unified (San Luis Obispo),40-68700-0000000,19.4,32.6,25.1,22.9,52,67.9,80,33.3,66.7,39.9,redacted,60.5,56.1,46.1,57.9
42,Atwater Elementary (Merced),24-65631-0000000,14.9,32.9,24.8,27.4,47.8,35.3,53.7,37.5,71.4,45,50,51.5,57.5,41.7,54.5
43,Auburn Union Elementary (Placer),31-66787-0000000,10.6,27.2,26.8,35.4,37.8,33.3,43.8,31.3,25,23.1,redacted,42.1,45.2,31.6,43.8
44,Azusa Unified (Los Angeles),19-64279-0000000,10,25.3,27.1,37.6,35.3,redacted,69.2,37.5,70.5,34.1,,50,49.2,29.7,41.3
45,Baker Valley Unified (San Bernardino),36-73858-0000000,1.4,15.3,41.7,41.7,16.7,,,,,15.9,,,redacted,7.5,28.1
46,Bakersfield City (Kern),15-63321-0000000,10.8,22.8,24.9,41.5,33.6,24.5,42.6,20.6,61.6,32.6,37.5,43.5,51.1,29.2,38.1
47,Baldwin Park Unified (Los Angeles),19-64287-0000000,12.1,25.9,27.6,34.4,38,27.3,73.3,35.9,64.5,35.4,redacted,,39.5,32.1,44.2
48,Ballard Elementary (Santa Barbara),42-69104-0000000,54.8,30.1,12.3,2.7,84.9,,redacted,redacted,,75,,,86.2,86.5,83.3
49,Ballico-Cressey Elementary (Merced),24-65649-0000000,15.4,30.3,30.7,23.6,45.7,redacted,redacted,redacted,,41.3,,redacted,59.7,43.2,48.7
50,Bangor Union Elementary (Butte),04-61382-0000000,7.1,23.2,30.4,39.3,30.4,redacted,redacted,,,redacted,,redacted,34.1,30,30.8
51,Banning Unified (Riverside),33-66985-0000000,7.1,21,26.2,45.7,28.1,14.9,39.2,24.3,42.9,27.6,redacted,33.3,31.3,22.7,33.9
52,Banta Elementary (San Joaquin),39-68486-0000000,14,28.1,28.1,29.8,42.1,,54.4,33.3,61.5,33.5,redacted,47.1,45.2,36.1,48.8
53,Barstow Unified (San Bernardino),36-67611-0000000,7.8,21.9,25.1,45.3,29.6,34.4,53.9,15.2,83.3,29.1,40,32.4,39.4,25.3,34.4
54,Bass Lake Joint Union Elementary (Madera),20-65185-0000000,11.9,30.1,31.6,26.4,42,redacted,redacted,redacted,redacted,23.8,redacted,36.4,47.6,38.3,46.2
55,Bassett Unified (Los Angeles),19-64295-0000000,14,27.8,28.2,30.1,41.8,redacted,65.6,redacted,66.7,40.7,redacted,,40.7,37.5,46.7
56,Bayshore Elementary (San Mateo),41-68858-0000000,7.9,21.2,21.6,49.4,29.1,,48.9,redacted,39.3,18.8,14.3,redacted,redacted,21.6,37.1
57,Bear Valley Unified (San Bernardino),36-67637-0000000,13.3,27.7,25.1,34,41,redacted,72.7,redacted,,27.2,redacted,40,49.3,35.4,46.7
58,Beardsley Elementary (Kern),15-63339-0000000,8.2,23.2,24.8,43.8,31.4,redacted,redacted,16.7,redacted,32.1,redacted,43.2,31.3,28.2,34.9
59,Beaumont Unified (Riverside),33-66993-0000000,18.2,29.4,25.3,27.1,47.7,31.5,71.1,34.3,73,41.5,57.1,61.1,54.9,41.4,54.1
60,Bella Vista Elementary (Shasta),45-69872-0000000,20.5,28.1,23.7,27.7,48.6,54.6,redacted,redacted,redacted,22.2,redacted,redacted,51,31.1,64.6
61,Belleview Elementary (Tuolumne),55-72306-0000000,7.1,37.4,31.3,24.2,44.4,redacted,,redacted,,42.1,redacted,redacted,43.5,39.1,49.1
62,Bellevue Union (Sonoma),49-70615-0000000,12.8,22.4,28.1,36.7,35.2,redacted,46.7,33.3,redacted,33.1,,63.6,47.8,32.5,38.2
63,Bellflower Unified (Los Angeles),19-64303-0000000,16.5,31.5,24.2,27.8,48,27.3,70.1,39.9,75.1,44.5,50.9,62.7,57.6,41.9,54.6
64,Belmont-Redwood Shores Elementary (San Mateo),41-68866-0000000,45.8,32.6,13.1,8.7,78.3,redacted,88.4,30.6,79.1,52,67.9,83.5,79.8,73.2,83.6
65,Belridge Elementary (Kern),15-63347-0000000,13,34.8,30.4,21.7,47.8,,,,,47.8,,,,46.2,redacted
66,Benicia Unified (Solano),48-70524-0000000,23.2,33.7,23.9,19.2,56.9,35.7,77,30.3,69.2,46.1,redacted,56.3,63.4,51.4,62.8
67,Bennett Valley Union Elementary (Sonoma),49-70623-0000000,28.5,36.1,26.4,9,64.6,redacted,64,72.7,redacted,52.6,redacted,80,66.4,59.3,70.9
68,Berkeley Unified (Alameda),01-61143-0000000,33,28.1,18,20.9,61.1,redacted,61.4,21.9,61.9,43.7,redacted,73.4,82.2,56.6,65.9
69,Berryessa Union Elementary (Santa Clara),43-69377-0000000,26.2,33.3,21,19.6,59.4,redacted,74.8,34.8,55.8,32.5,25.9,58.8,60.4,53.9,65.3
70,Beverly Hills Unified (Los Angeles),19-64311-0000000,41,34.3,15.1,9.7,75.3,redacted,78.2,58.1,76.5,76.8,redacted,72,75.6,70,81
71,Big Creek Elementary (Fresno),10-62026-0000000,31.4,28.6,22.9,17.1,60,,,,,58.3,,,60.9,56.3,63.2
72,Big Lagoon Union Elementary (Humboldt),12-62695-0000000,redacted,redacted,redacted,redacted,redacted,redacted,,,,redacted,,redacted,redacted,redacted,redacted
73,Big Oak Flat-Groveland Unified (Tuolumne),55-75184-0000000,8.8,25.2,29.3,36.7,34,,redacted,redacted,redacted,27.8,,redacted,35.8,30.4,37.2
74,Big Pine Unified (Inyo),14-63248-0000000,2.3,20.2,33.7,43.8,22.5,13.2,,,,18.2,,redacted,36,23.5,21.1
75,Big Springs Union Elementary (Siskiyou),47-70185-0000000,15.3,33.9,20.3,30.5,49.2,redacted,redacted,,,17.4,,redacted,59,40.3,60.8
76,Big Sur Unified (Monterey),27-75150-0000000,redacted,redacted,redacted,redacted,redacted,,redacted,,,redacted,,,redacted,redacted,redacted
77,Big Valley Joint Unified (Lassen),18-64089-0000000,2.9,17.4,29,50.7,20.3,redacted,,,,redacted,,,19.3,23.5,17.1
78,Biggs Unified (Butte),04-61408-0000000,8.7,21.3,25.5,44.4,30.1,redacted,redacted,redacted,,19,redacted,redacted,40.7,22.5,38.5
79,Bishop Unified (Inyo),14-76687-0000000,13.9,24.9,26.6,34.7,38.8,22.7,76.9,redacted,redacted,23.4,,56.5,56.3,36.4,41.5
80,Bitterwater-Tully Elementary (San Benito),35-67454-0000000,16.7,38.9,22.2,22.2,55.6,,,,,redacted,,,69.2,redacted,60
81,Black Butte Union Elementary (Shasta),45-69880-0000000,11.3,28.2,24.2,36.3,39.5,redacted,redacted,,redacted,36.4,redacted,redacted,39,28.8,49.2
82,Black Oak Mine Unified (El Dorado),09-73783-0000000,10.2,28.8,28.7,32.4,39,21.1,redacted,redacted,,39.3,,redacted,39.3,35,42.8
83,Blake Elementary (Kern),15-63354-0000000,redacted,redacted,redacted,redacted,redacted,,,,,redacted,,,redacted,redacted,redacted
84,Blochman Union Elementary (Santa Barbara),42-69112-0000000,21.3,33.6,26.2,18.9,54.9,redacted,redacted,,,43.4,,redacted,63.3,61.4,49.2
85,Blue Lake Union Elementary (Humboldt),12-62703-0000000,10.4,21.7,30.2,37.7,32.1,16.7,,,,26.7,,50,36.1,30.8,33.3
86,Bogus Elementary (Siskiyou),47-70193-0000000,redacted,redacted,redacted,redacted,redacted,,,,,,,redacted,redacted,redacted,redacted
87,Bolinas-Stinson Union (Marin),21-65300-0000000,19.2,40.4,25,15.4,59.6,,redacted,,,46.7,,redacted,66.7,52.9,62.9
88,Bonita Unified (Los Angeles),19-64329-0000000,31.1,36.6,19.6,12.8,67.7,50,84.8,55,80.7,62.3,redacted,72.1,73.3,62.3,73.3
89,Bonny Doon Union Elementary (Santa Cruz),44-69732-0000000,24.5,34,26.6,14.9,58.5,redacted,redacted,,,redacted,,redacted,58,53.1,64.4
90,Bonsall Unified (San Diego),37-76851-0000000,28.5,34.6,20.4,16.5,63.2,34.4,87.5,60,83.9,48.4,redacted,73.3,73.8,58.3,68.6
91,Borrego Springs Unified (San Diego),37-67983-0000000,14.1,25.4,22.1,38.5,39.4,redacted,,redacted,redacted,37.1,,redacted,50,35.4,41.8
92,Bradley Union Elementary (Monterey),27-65979-0000000,19.6,27.5,21.6,31.4,47.1,,redacted,,,44.4,,redacted,48.4,46.2,48
93,Brawley Elementary (Imperial),13-63073-0000000,9.6,26,30.2,34.3,35.5,,redacted,24,redacted,34.5,redacted,redacted,54.1,31.9,39
94,Brawley Union High (Imperial),13-63081-0000000,20.2,36.2,22.3,21.3,56.4,,redacted,redacted,redacted,55.9,,redacted,60,50.2,63.2
95,Brea-Olinda Unified (Orange),30-66449-0000000,31.3,35.2,18.9,14.6,66.6,redacted,83.4,50.9,75.7,53,78.6,79.6,69.4,61.9,71.6
96,Brentwood Union Elementary (Contra Costa),07-61655-0000000,25.5,34.5,22.1,17.8,60.1,52.6,69.6,45.8,76.3,49.3,45.2,64.5,66.5,54.3,65.8
97,Bret Harte Union High (Calaveras),05-61556-0000000,33.1,35.1,16.6,15.2,68.2,redacted,redacted,,redacted,51.9,,redacted,72.2,65,71.8
98,Bridgeville Elementary (Humboldt),12-62729-0000000,8.3,25,50,16.7,33.3,,,,,redacted,,redacted,redacted,redacted,redacted
99,Briggs Elementary (Ventura),56-72447-0000000,12.8,28.9,30.1,28.2,41.7,,,,,40.3,,redacted,68.2,39.2,44.4
