,District Name,CDS Number (District),American Indian or Alaska Native (CAASPP-Math Levels 3 and 4) (District),Asian (CAASPP-Math Levels 3 and 4) (District),Black or African American (CAASPP-Math Levels 3 and 4) (District),Filipino (CAASPP-Math Levels 3 and 4) (District),Hispanic or Latino (CAASPP-Math Levels 3 and 4) (District),Native Hawaiian or Pac Islandr (CAASPP-Math Levels 3 and 4) (District),Two or More Races (CAASPP-Math Levels 3 and 4) (District),White (CAASPP-Math Levels 3 and 4) (District),Males (CAASPP-Math Levels 3 and 4) (District),Females (CAASPP-Math Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded (Level 4) (District),CAASPP-Math Standard Met (Level 3) (District),CAASPP-Math Standard Nearly Met (Level 2) (District),CAASPP-Math Standard Not Met (Level 1) (District)
0,ABC Unified (Los Angeles),19-64212-0000000,57.6,84.4,36.8,71.2,35.9,40.9,64.4,55.3,53.7,54,53.8,30.4,23.5,24.1,22.1
1,Acalanes Union High (Contra Costa),07-61630-0000000,redacted,83.4,26.1,73.7,53.4,redacted,77.3,68.5,69.7,68.7,69.2,39.9,29.3,17.8,13.1
2,Ackerman Charter (Placer),31-66761-0000000,redacted,redacted,redacted,redacted,47.7,,80,61.1,65.1,54.6,59.7,31.8,27.9,31.2,9.1
3,Acton-Agua Dulce Unified (Los Angeles),19-75309-0000000,redacted,redacted,redacted,redacted,23.9,redacted,28.6,39.4,33.8,29.7,31.9,10.6,21.3,36.6,31.6
4,Adelanto Elementary (San Bernardino),36-67587-0000000,23.5,25,6,39.4,12.6,17,9.6,14.1,11.6,11.4,11.5,2.7,8.8,23.3,65.2
5,Alameda County Office of Education (Alameda),01-10017-0000000,,redacted,0,redacted,0,redacted,redacted,redacted,0,0,0,0,0,3.9,96.1
6,Alameda Unified (Alameda),01-61119-0000000,21.4,71.6,23.8,46,42.9,22,63.4,64.5,58.6,57.7,58.2,31.9,26.3,22.5,19.4
7,Albany City Unified (Alameda),01-61127-0000000,redacted,82.6,49.1,50,57,redacted,69.7,79.4,72.8,75.1,73.9,46.4,27.5,15.7,10.4
8,Alexander Valley Union Elementary (Sonoma),49-70599-0000000,,,,,36,,,60,40,60,50.8,29.2,21.5,33.9,15.4
9,Alhambra Unified (Los Angeles),19-75713-0000000,17.7,75.3,30,65.6,30.7,redacted,67.9,40.4,53.9,56.6,55.2,30.7,24.5,22.3,22.5
10,Alisal Union (Monterey),27-65961-0000000,redacted,57.1,36.4,60,20.3,36.4,58.3,37.9,21.7,20.7,21.2,5.1,16.1,29.2,49.6
11,Allensworth Elementary (Tulare),54-71795-0000000,,,,,15,,,redacted,11.8,16.7,14.6,0,14.6,29.3,56.1
12,Alpaugh Unified (Tulare),54-71803-0000000,,redacted,,redacted,8.6,,,redacted,8.1,8.8,8.5,1.1,7.3,25.4,66.1
13,Alpine County Office of Education (Alpine),02-10025-0000000,,,,,,,,,,,,,,,
14,Alpine County Unified (Alpine),02-61333-0000000,21.7,,,,redacted,,redacted,45.2,40,41.7,40.7,25.4,15.3,37.3,22
15,Alpine Union Elementary (San Diego),37-67967-0000000,22.4,37.5,20.7,60,33.3,redacted,55,46.5,42.9,40.6,41.7,13.9,27.8,32.7,25.6
16,Alta Loma Elementary (San Bernardino),36-67595-0000000,35,79.9,34.4,72.4,42,47.8,50.9,55.5,51,48.8,49.9,23.8,26.2,28.2,21.9
17,Alta Vista Elementary (Tulare),54-71811-0000000,redacted,redacted,,,6.4,0,redacted,9.1,7.1,5.9,6.5,0,6.5,27.7,65.8
18,Alta-Dutch Flat Union Elementary (Placer),31-66779-0000000,redacted,redacted,,,redacted,,redacted,51.6,46.3,59.4,52.1,23.3,28.8,37,11
19,Alum Rock Union Elementary (Santa Clara),43-69369-0000000,8.3,59.9,25.7,47.6,24.5,29.6,56.9,51.7,30.8,30.7,30.8,12.5,18.2,27.1,42.2
20,Alview-Dairyland Union Elementary (Madera),20-65177-0000000,,redacted,,redacted,25.9,,,59.3,40.4,40.8,40.6,18.8,21.8,41,18.4
21,Alvina Elementary (Fresno),10-61994-0000000,redacted,,,,41.1,redacted,,66.7,44.3,42.6,43.5,21.3,22.2,21.3,35.2
22,Alvord Unified (Riverside),33-66977-0000000,25,62,27.5,60.3,24,32.7,45.2,42.2,28,28.2,28.1,9.7,18.4,28.7,43.3
23,Amador County Office of Education (Amador),03-10033-0000000,redacted,,,,7.4,,redacted,8.2,5.3,9.4,7,0.8,6.3,18,75
24,Amador County Unified (Amador),03-73981-0000000,21.4,41.2,30.8,41.7,24.5,redacted,30.6,34,31.7,31.4,31.5,11,20.5,33.8,34.7
25,Anaheim Elementary (Orange),30-66423-0000000,redacted,63.1,24.8,59,17.9,29.6,34.4,36.9,22.9,20.4,21.7,7.4,14.4,27.9,50.4
26,Anaheim Union High (Orange),30-66431-0000000,15.1,73.2,22.3,53.6,17.6,25,39.3,34,27.8,29.6,28.6,13.4,15.3,24,47.3
