,District Name,CDS Number (District),Average Daily Attendance (ADA) (District),English Learners # (District),English Learners % (District),Enrollment (District),Ethnic Diversity Index (District),American Indian or Alaska Native # (District),Asian # (District),Black or African American # (District),Filipino # (District),Hispanic or Latino # (District),Native Hawaiian or Pac Islander # (District),Two or More Races # (District),None Reported # (District),White # (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Fluent English Proficient (FEP) # (District),Fluent English Proficient (FEP) % (District),Foster Youth # (District),Free/Reduced Meals # (District),Free/Reduced Meals % (District),FRPM/EL/Foster Undupl # (District),FRPM/EL/Foster Undupl % (District),Homeless # (District),Migrant # (District),Special Education # (District)
0,ABC Unified (Los Angeles),19-64212-0000000,20042.0,4323.0,20.8,20768.0,56.0,63.0,5075.0,1799.0,2404.0,9436.0,158.0,451.0,74.0,1308.0,0.3,24.4,8.7,11.6,45.4,0.8,2.2,0.4,6.3,4557.0,21.9,80,10247.0,49.3,11409.0,55.2,126.0,1006.0,2163.0
1,Acalanes Union High (Contra Costa),07-61630-0000000,5288.0,98.0,1.8,5530.0,37.0,9.0,731.0,95.0,120.0,508.0,16.0,362.0,40.0,3649.0,0.2,13.2,1.7,2.2,9.2,0.3,6.5,0.7,66.0,757.0,13.7,redacted,184.0,3.3,263.0,5.2,1.0,0.0,558.0
2,Ackerman Charter (Placer),31-66761-0000000,564.0,11.0,1.9,586.0,23.0,2.0,8.0,4.0,1.0,74.0,0.0,30.0,7.0,460.0,0.3,1.4,0.7,0.2,12.6,0.0,5.1,1.2,78.5,15.0,2.6,redacted,157.0,26.8,160.0,27.0,6.0,0.0,46.0
3,Acton-Agua Dulce Unified (Los Angeles),19-75309-0000000,1036.0,617.0,6.2,10016.0,52.0,36.0,382.0,711.0,154.0,3473.0,18.0,711.0,329.0,4202.0,0.4,3.8,7.1,1.5,34.7,0.2,7.1,3.3,42.0,758.0,7.6,26,3603.0,36.0,505.0,43.7,75.0,0.0,965.0
4,Adelanto Elementary (San Bernardino),36-67587-0000000,7894.0,1662.0,16.2,10288.0,39.0,35.0,91.0,2156.0,48.0,6338.0,88.0,332.0,186.0,1014.0,0.3,0.9,21.0,0.5,61.6,0.9,3.2,1.8,9.9,1223.0,11.9,259,8628.0,83.9,7174.0,88.1,114.0,0.0,1453.0
5,Alameda County Office of Education (Alameda),01-10017-0000000,,935.0,32.6,2870.0,48.0,16.0,241.0,543.0,22.0,1581.0,33.0,219.0,6.0,209.0,0.6,8.4,18.9,0.8,55.1,1.1,7.6,0.2,7.3,574.0,20.0,31,1625.0,56.4,299.0,,45.0,0.0,291.0
6,Alameda Unified (Alameda),01-61119-0000000,9062.0,1834.0,16.4,11201.0,69.0,33.0,2957.0,931.0,781.0,1901.0,85.0,1125.0,81.0,3307.0,0.3,26.4,8.3,7.0,17.0,0.8,10.0,0.7,29.5,1915.0,17.1,18,3199.0,28.6,3307.0,36.5,103.0,0.0,1171.0
7,Albany City Unified (Alameda),01-61127-0000000,3602.0,674.0,18.2,3702.0,60.0,5.0,1029.0,117.0,51.0,603.0,7.0,501.0,21.0,1368.0,0.1,27.8,3.2,1.4,16.3,0.2,13.5,0.6,37.0,539.0,14.6,redacted,641.0,17.3,1090.0,29.4,6.0,0.0,268.0
8,Alexander Valley Union Elementary (Sonoma),49-70599-0000000,125.0,33.0,25.4,130.0,33.0,0.0,0.0,1.0,0.0,48.0,0.0,1.0,0.0,80.0,0.0,0.0,0.8,0.0,36.9,0.0,0.8,0.0,61.5,2.0,1.5,redacted,34.0,26.2,48.0,36.0,0.0,3.0,17.0
9,Alhambra Unified (Los Angeles),19-75713-0000000,16622.0,3776.0,22.1,17071.0,41.0,33.0,8715.0,112.0,369.0,7071.0,16.0,404.0,2.0,349.0,0.2,51.1,0.7,2.2,41.4,0.1,2.4,0.0,2.0,5833.0,34.2,65,11013.0,64.5,11746.0,71.1,143.0,48.0,1404.0
10,Alisal Union (Monterey),27-65961-0000000,8631.0,6693.0,72.5,9235.0,4.0,4.0,75.0,34.0,56.0,8414.0,18.0,25.0,492.0,117.0,0.0,0.8,0.4,0.6,91.1,0.2,0.3,5.3,1.3,877.0,9.5,20,7631.0,82.6,8381.0,92.2,1363.0,990.0,787.0
